Country,CompanyType,YearsInOperation,AnnualRevenue,CompanySize,MainLogisticsChallenges,GCCShipmentFrequency,CurrentWarehousingSolution,CurrentDeliveryModel,PainPointsCurrentModel,TechAdoption,SustainabilityImportance,CarbonTracking,EcoPayExtra,EcoFeaturesMatterMost,LikelihoodToUseAIPlatform,MotivatorsToSwitch,ConcernsSwitching,WillingnessToSpendPerMonth,PilotProgramInterest
Saudi Arabia,SME Manufacturer,4-7,"Less than 100,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,On-demand (pay as you go),Mix of both,"Difficult to scale, Environmental concerns, High cost",Manual (spreadsheets/phone/email),2,No,No,"Electric vehicles, Route optimization for less fuel",3,Lower costs,"Data security/privacy, Reliability of new provider","500 – 1,000",No
Qatar,SME Manufacturer,1-3,"1,000,001 – 5,000,000",11–50,"Last-mile delivery costs, Other",Daily,Own warehouse,No dedicated model,High cost,Basic software (inventory/ERP),4,Planning to,Yes,Electric vehicles,3,Faster deliveries,Reliability of new provider,"500 – 1,000",Yes
Saudi Arabia,SME Retailer,Less than 1,"500,001 – 1,000,000",More than 200,"Finding flexible warehouse space, Other",Monthly,On-demand (pay as you go),Mix of both,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),4,No,Maybe,Solar-powered warehouses,4,"Faster deliveries, Lower costs",Data security/privacy,"1,001 – 5,000",Yes
Oman,SME Manufacturer,1-3,"500,001 – 1,000,000",1–10,"Technology adoption, Tracking shipments",Weekly,None,No dedicated model,High cost,"Automated (IoT, AI-driven, warehouse management systems)",3,No,No,Green packaging,5,Sustainability features,Price transparency,"500 – 1,000",Yes
UAE,E-commerce Brand,4-7,"Less than 100,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Rented long-term,Mix of both,"Delays at borders, High cost",Basic software (inventory/ERP),2,Planning to,Yes,Electric vehicles,4,Faster deliveries,"Price transparency, Reliability of new provider",Less than 500,No
Saudi Arabia,SME Retailer,8+,"500,001 – 1,000,000",More than 200,"Carbon emissions / sustainability, Last-mile delivery costs",Daily,Own warehouse,No dedicated model,"Delays at borders, High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),2,No,Maybe,"Carbon offset options, Electric vehicles",4,Sustainability features,Reliability of new provider,Less than 500,Yes
Saudi Arabia,SME Manufacturer,4-7,"500,001 – 1,000,000",11–50,"Carbon emissions / sustainability, Technology adoption",Rarely,On-demand (pay as you go),No dedicated model,Environmental concerns,Manual (spreadsheets/phone/email),2,No,No,"Electric vehicles, Solar-powered warehouses",5,Sustainability features,"None, Reliability of new provider","5,001 – 10,000",Yes
UAE,SME Retailer,Less than 1,"100,000 – 500,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Rented long-term,In-house,High cost,Basic software (inventory/ERP),5,Planning to,No,Electric vehicles,5,"Lower costs, Sustainability features",Price transparency,"5,001 – 10,000",Yes
Oman,Logistics Provider,4-7,"100,000 – 500,000",51–200,"Last-mile delivery costs, Managing cross-border compliance",Weekly,On-demand (pay as you go),No dedicated model,Delays at borders,Basic software (inventory/ERP),1,No,Yes,"Green packaging, Route optimization for less fuel",2,Faster deliveries,Reliability of new provider,"500 – 1,000",No
Qatar,E-commerce Brand,1-3,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Managing cross-border compliance",Daily,None,Mix of both,"Difficult to scale, Environmental concerns, High cost",Manual (spreadsheets/phone/email),4,No,No,Green packaging,3,"Faster deliveries, Lower costs",Data security/privacy,"500 – 1,000",Yes
Bahrain,SME Manufacturer,1-3,"1,000,001 – 5,000,000",51–200,"Last-mile delivery costs, Tracking shipments",Daily,Third-party logistics (3PL),In-house,"Delays at borders, Difficult to scale, Poor visibility/tracking",Basic software (inventory/ERP),4,Planning to,Maybe,"Carbon offset options, Solar-powered warehouses",3,"Better tracking/visibility, Faster deliveries",Integration with existing systems,"1,001 – 5,000",Yes
Saudi Arabia,SME Manufacturer,4-7,"1,000,001 – 5,000,000",11–50,"Last-mile delivery costs, Other",Weekly,On-demand (pay as you go),Mix of both,"High cost, Poor visibility/tracking",Basic software (inventory/ERP),2,Yes,No,Carbon offset options,3,"Faster deliveries, Sustainability features","Data security/privacy, Reliability of new provider","1,001 – 5,000",No
UAE,SME Retailer,8+,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Other",Monthly,Rented long-term,Mix of both,Lack of flexibility,Basic software (inventory/ERP),3,Planning to,No,"Electric vehicles, Green packaging",2,"Lower costs, Sustainability features",Reliability of new provider,"5,001 – 10,000",Yes
Saudi Arabia,Logistics Provider,8+,"500,001 – 1,000,000",More than 200,"Finding flexible warehouse space, Technology adoption",Weekly,Own warehouse,Mix of both,Delays at borders,Basic software (inventory/ERP),2,No,Maybe,Solar-powered warehouses,4,Faster deliveries,"None, Reliability of new provider",Less than 500,Yes
UAE,E-commerce Brand,8+,"500,001 – 1,000,000",1–10,"Managing cross-border compliance, Tracking shipments",Monthly,On-demand (pay as you go),Mix of both,"Difficult to scale, High cost, Poor visibility/tracking",Basic software (inventory/ERP),2,No,Maybe,Carbon offset options,4,Flexible contract terms,"Data security/privacy, Price transparency",Less than 500,Yes
UAE,E-commerce Brand,1-3,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Technology adoption",Daily,Own warehouse,Mix of both,Delays at borders,Basic software (inventory/ERP),3,No,No,Electric vehicles,4,Faster deliveries,Reliability of new provider,Less than 500,Yes
Saudi Arabia,SME Manufacturer,1-3,"1,000,001 – 5,000,000",51–200,"Last-mile delivery costs, Tracking shipments",Weekly,Third-party logistics (3PL),Outsourced to 3PL,"Environmental concerns, High cost",Basic software (inventory/ERP),3,No,Maybe,Electric vehicles,4,"Faster deliveries, Flexible contract terms",Integration with existing systems,"1,001 – 5,000",No
UAE,SME Manufacturer,1-3,"Less than 100,000",11–50,"Last-mile delivery costs, Other",Weekly,Own warehouse,In-house,"Difficult to scale, High cost",Basic software (inventory/ERP),2,Yes,Yes,"Route optimization for less fuel, Solar-powered warehouses",5,"Better tracking/visibility, Flexible contract terms","Data security/privacy, Integration with existing systems",Less than 500,Yes
Saudi Arabia,SME Manufacturer,Less than 1,"1,000,001 – 5,000,000",1–10,"Managing cross-border compliance, Tracking shipments",Monthly,Rented long-term,In-house,"Difficult to scale, High cost",Manual (spreadsheets/phone/email),2,Planning to,Maybe,Electric vehicles,2,Lower costs,None,"500 – 1,000",Yes
Kuwait,E-commerce Brand,4-7,"500,001 – 1,000,000",More than 200,"Last-mile delivery costs, Other",Weekly,Rented long-term,In-house,Environmental concerns,"Automated (IoT, AI-driven, warehouse management systems)",5,Planning to,No,"Electric vehicles, Route optimization for less fuel",4,Lower costs,Reliability of new provider,Less than 500,Maybe
Saudi Arabia,Logistics Provider,4-7,"500,001 – 1,000,000",51–200,"Last-mile delivery costs, Other",Daily,Own warehouse,Outsourced to 3PL,Lack of flexibility,Basic software (inventory/ERP),2,Yes,Maybe,"Carbon offset options, Electric vehicles",3,Faster deliveries,"None, Reliability of new provider","5,001 – 10,000",No
Qatar,E-commerce Brand,1-3,"Less than 100,000",11–50,"Other, Tracking shipments",Weekly,On-demand (pay as you go),Mix of both,Difficult to scale,"Automated (IoT, AI-driven, warehouse management systems)",3,No,Yes,Green packaging,3,"Flexible contract terms, Lower costs","Data security/privacy, Reliability of new provider","500 – 1,000",No
UAE,Logistics Provider,1-3,"500,001 – 1,000,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,On-demand (pay as you go),In-house,Poor visibility/tracking,Manual (spreadsheets/phone/email),2,Planning to,Yes,Solar-powered warehouses,4,Faster deliveries,Reliability of new provider,"1,001 – 5,000",Maybe
Saudi Arabia,SME Retailer,4-7,"Less than 100,000",51–200,"Finding flexible warehouse space, Tracking shipments",Monthly,Rented long-term,In-house,High cost,Manual (spreadsheets/phone/email),3,No,Maybe,Solar-powered warehouses,5,"Faster deliveries, Lower costs","Data security/privacy, Integration with existing systems","1,001 – 5,000",Maybe
UAE,E-commerce Brand,4-7,"100,000 – 500,000",More than 200,"Carbon emissions / sustainability, Managing cross-border compliance",Weekly,Own warehouse,In-house,"Difficult to scale, High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),2,Planning to,Maybe,Solar-powered warehouses,5,Better tracking/visibility,Price transparency,Less than 500,Maybe
UAE,SME Manufacturer,1-3,"Less than 100,000",More than 200,"Other, Technology adoption",Weekly,Own warehouse,No dedicated model,Lack of flexibility,Manual (spreadsheets/phone/email),1,No,Yes,Electric vehicles,3,Lower costs,"None, Reliability of new provider","More than 10,000",No
Qatar,E-commerce Brand,1-3,"100,000 – 500,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,Rented long-term,No dedicated model,"Difficult to scale, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),2,No,Maybe,"Carbon offset options, Green packaging",5,Faster deliveries,None,"500 – 1,000",Yes
Saudi Arabia,SME Retailer,8+,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Tracking shipments",Monthly,Own warehouse,In-house,"Environmental concerns, High cost",Basic software (inventory/ERP),1,No,No,"Carbon offset options, Solar-powered warehouses",5,"Better tracking/visibility, Flexible contract terms",Data security/privacy,"1,001 – 5,000",No
UAE,Logistics Provider,Less than 1,"Less than 100,000",1–10,"Last-mile delivery costs, Tracking shipments",Weekly,None,In-house,Lack of flexibility,Manual (spreadsheets/phone/email),4,No,Maybe,Solar-powered warehouses,3,Lower costs,"Price transparency, Reliability of new provider",Less than 500,Yes
Kuwait,SME Manufacturer,1-3,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Managing cross-border compliance",Weekly,Own warehouse,In-house,"High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,Yes,Maybe,Solar-powered warehouses,4,Flexible contract terms,Data security/privacy,"1,001 – 5,000",Maybe
Qatar,Logistics Provider,1-3,"100,000 – 500,000",11–50,"Carbon emissions / sustainability, Other",Daily,Rented long-term,No dedicated model,Lack of flexibility,Manual (spreadsheets/phone/email),3,Yes,Yes,Green packaging,5,"Flexible contract terms, Lower costs",Reliability of new provider,"500 – 1,000",Yes
UAE,E-commerce Brand,4-7,"Less than 100,000",11–50,"Finding flexible warehouse space, Tracking shipments",Monthly,Third-party logistics (3PL),In-house,"Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),3,No,Maybe,Route optimization for less fuel,5,"Faster deliveries, Lower costs","Integration with existing systems, Price transparency",Less than 500,Yes
Saudi Arabia,SME Retailer,4-7,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Other",Daily,Own warehouse,In-house,"Environmental concerns, High cost, Poor visibility/tracking",Basic software (inventory/ERP),1,Planning to,Maybe,"Carbon offset options, Green packaging",4,Flexible contract terms,Data security/privacy,"500 – 1,000",Yes
Kuwait,Other,1-3,"Less than 100,000",51–200,"Last-mile delivery costs, Technology adoption",Weekly,Own warehouse,Outsourced to 3PL,"Delays at borders, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),3,Yes,Yes,Green packaging,3,Lower costs,Reliability of new provider,Less than 500,No
Qatar,Logistics Provider,4-7,"Above 5,000,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Rented long-term,Mix of both,"Delays at borders, Environmental concerns",Manual (spreadsheets/phone/email),3,No,Yes,Electric vehicles,5,"Faster deliveries, Flexible contract terms",Data security/privacy,"500 – 1,000",No
Saudi Arabia,Logistics Provider,1-3,"1,000,001 – 5,000,000",More than 200,"Last-mile delivery costs, Technology adoption",Monthly,Own warehouse,In-house,"Difficult to scale, Lack of flexibility",Manual (spreadsheets/phone/email),2,No,Yes,"Electric vehicles, Route optimization for less fuel",4,"Flexible contract terms, Sustainability features","Integration with existing systems, Reliability of new provider",Less than 500,Yes
Saudi Arabia,SME Manufacturer,4-7,"Above 5,000,000",11–50,"Last-mile delivery costs, Managing cross-border compliance",Rarely,Own warehouse,In-house,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),3,Yes,Yes,"Electric vehicles, Solar-powered warehouses",4,"Faster deliveries, Lower costs","Data security/privacy, Reliability of new provider","500 – 1,000",Yes
Saudi Arabia,SME Manufacturer,4-7,"100,000 – 500,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,Own warehouse,No dedicated model,"High cost, Poor visibility/tracking",Basic software (inventory/ERP),2,No,Maybe,Electric vehicles,3,"Faster deliveries, Lower costs",Data security/privacy,"500 – 1,000",Yes
UAE,SME Manufacturer,4-7,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Own warehouse,In-house,Difficult to scale,"Automated (IoT, AI-driven, warehouse management systems)",1,No,No,"Electric vehicles, Green packaging",4,"Flexible contract terms, Lower costs",None,Less than 500,Maybe
Qatar,Logistics Provider,1-3,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Other",Monthly,None,Mix of both,Difficult to scale,Basic software (inventory/ERP),2,No,Yes,"Carbon offset options, Electric vehicles",3,Faster deliveries,Integration with existing systems,Less than 500,No
Qatar,SME Manufacturer,1-3,"500,001 – 1,000,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Daily,On-demand (pay as you go),Mix of both,"Difficult to scale, Poor visibility/tracking",Manual (spreadsheets/phone/email),1,No,Yes,"Carbon offset options, Route optimization for less fuel",3,Faster deliveries,Data security/privacy,"1,001 – 5,000",Maybe
Qatar,E-commerce Brand,8+,"500,001 – 1,000,000",51–200,"Last-mile delivery costs, Other",Monthly,Third-party logistics (3PL),In-house,"Delays at borders, Difficult to scale, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",2,No,Maybe,"Carbon offset options, Route optimization for less fuel",5,"Faster deliveries, Sustainability features","Integration with existing systems, Reliability of new provider","1,001 – 5,000",Yes
Oman,E-commerce Brand,4-7,"100,000 – 500,000",11–50,"Last-mile delivery costs, Other",Monthly,On-demand (pay as you go),Mix of both,Difficult to scale,Basic software (inventory/ERP),4,No,Maybe,"Electric vehicles, Route optimization for less fuel",3,"Faster deliveries, Lower costs","Integration with existing systems, None",Less than 500,No
